pop,lat,lon,description,adapt.prec.upgma,adapt.prec.nj,adapt.prec.nnet,adapt.temp.upgma,adapt.temp.nj,adapt.temp.nnet,neutr.prec.upgma,neutr.prec.nj,neutr.prec.nnet,neutr.temp.upgma,neutr.temp.nj,neutr.temp.nnet,neutr.all.upgma,neutr.all.nj,neutr.all.nnet
1,64.84,-147.72,"Fairbanks, AK",17,15,19,5,7,13,4,3,4,4,3,3,4,3,3
2,58.2027,-133.907,"Juneau, AK",18,9,8,1,2,3,5,4,5,7,5,5,5,5,5
3,54.83,-112.05,"Lac La Biche, AB",11,18,21,6,18,21,13,18,19,16,15,18,20,16,19
4,49.25,-122.7,"Burnaby, BC",5,8,9,9,16,10,9,13,10,11,13,9,15,13,10
5,49.1,-116.5,"Creston, BC",20,12,17,10,11,16,17,16,17,15,16,17,7,14,17
6,51.67,-123,"Fletcher Lake, BC",7,13,11,7,6,8,11,9,9,10,9,10,14,9,9
7,51,-118.2,"Revelstoke, BC",8,11,15,11,17,15,16,10,12,13,10,13,19,10,14
8,43.553,-111.989,"Willow Creek, ID",21,6,16,3,15,18,14,11,15,14,11,14,11,12,13
9,58.73,-94.12,"Churchill, MB",12,16,20,15,3,5,7,5,7,9,4,8,13,4,8
10,50.2,-98.2,"Delta Marsh, MB",9,21,10,13,19,17,15,19,20,18,19,19,17,20,18
11,42.29694444,-84.34861111,"FTCT, MI",15,4,5,16,9,7,6,8,8,5,6,7,16,8,7
12,45.68,-64.8,"Germantown, NB",3,1,1,20,4,4,3,7,3,3,7,4,2,7,4
13,49.69,-57.74,"Gros Morne, NF",16,2,2,8,1,1,1,1,1,1,1,1,1,1,1
14,43.5,-65.7,"Bon Portage, NS",4,3,3,21,12,6,2,2,2,2,2,2,3,2,2
15,42.586667,-121.930011,"Chiloquin, OR",13,10,13,4,8,12,18,12,16,20,12,16,12,11,16
16,40.598549,-75.448835,"Bethlehem, PA",1,7,4,17,13,9,8,15,11,8,14,11,9,18,11
17,48.3,-88.93,"Trois-Riviéres, QC",2,17,7,18,10,11,12,21,13,6,20,12,10,21,12
18,51.08,-105.23,"Last Mountain, SK",10,20,14,14,21,19,19,20,21,19,21,21,18,19,20
19,49.81,-102.42,"Moose Prov. Park, SK",19,19,18,19,14,20,21,17,18,21,18,20,21,17,21
20,47.667323,-122.33642,"King, WA",6,5,6,2,5,2,10,6,6,12,8,6,6,6,6
21,43.376,-119.581,"Okanogan, WA",14,14,12,12,20,14,20,14,14,17,17,15,8,15,15